72;S. Bernardino;1639;m.ue.M.;2734112;1147296
22;Grono;324;m.ue.M.;2733017;1124090
50;Magadino / Cadenazzo;203;m.ue.M.;2715480;1113162
96;Robi i;1896;m.ue.M.;2682588;1144091
843;Cevio;417;m.ue.M.;2689688;1130565
87;Cimetta;1661;m.ue.M.;2704433;1117452
84;Locarno / Monti;367;m.ue.M.;2704160;1114350
848;Monte Generoso;1600;m.ue.M.;2722503;1087456
47;Lugano;273;m.ue.M.;2717874;1095884
52;Stabio;353;m.ue.M.;2716050;1077966
23;Passo del Bernina;2260;m.ue.M.;2798422;1143020
28;Poschiavo / Robbia;1078;m.ue.M.;2801850;1136180
24;Segl-Maria;1804;m.ue.M.;2778575;1144976
74;Piz Corvatsch;3302;m.ue.M.;2783151;1143522
29;Samedan;1709;m.ue.M.;2787210;1155700
606;Buffalora;1968;m.ue.M.;2816494;1170225
30;Scuol;1304;m.ue.M.;2817135;1186393
25;Sta. Maria  Val M stair;1383;  m.ue.M.;2828861;1165580
274;Trun;834;m.ue.M.;2719985;1178224
280;Vrin;1384;m.ue.M.;2727424;1168526
407;Thusis;672;m.ue.M.;2753155;1175089
465;Savognin;1172;m.ue.M.;2765387;1162663
638;Tschiertschen;1273;m.ue.M.;2765538;1187679
641;Klosters / Aeuja;1186;m.ue.M.;2786857;1193366
224;St. Ant nien;1456;m.ue.M.;2781634;1205103
645;V ttis;939;m.ue.M.;2752732;1197282
647;Schaan / Untere Au;444;m.ue.M.;2755510;1228260
417;Malbun;1610;m.ue.M.;2764704;1219182
649;Altst tten SG;430;m.ue.M.;2759910;1250202
655;Amriswil;420;m.ue.M.;2741785;1268332
426;Eschenz;414;m.ue.M.;2707865;1278227
106;Lohn SH;585;m.ue.M.;2692910;1289775
240;Wittnau;463;m.ue.M.;2639941;1258983
432;Mervelier;540;m.ue.M.;2603884;1243975
433;Bellelay;923;m.ue.M.;2579603;1234880
118;Starkenbach;897;m.ue.M.;2737313;1227576
244;Flawil;570;m.ue.M.;2733050;1252940
247;Urn sch;825;m.ue.M.;2739205;1241765
665;Appenzell;750;m.ue.M.;2748012;1245040
192;Winterthur-Seen;506;m.ue.M.;2699845;1259054
669;Opfikon;422;m.ue.M.;2684500;1254650
321;Braunwald;1299;m.ue.M.;2717942;1199651
385;Weesen;425;m.ue.M.;2724983;1221383
451;Doggen-Benken;408;m.ue.M.;2715387;1227540
687;Innerthal;903;m.ue.M.;2712019;1218326
694;Rempen;650;m.ue.M.;2710610;1221850
141;Siebnen;452;m.ue.M.;2710821;1225538
326;Oberiberg;1075;m.ue.M.;2701841;1210464
388;Sihlbrugg;549;m.ue.M.;2686318;1230586
700;G scheneralp;1745;m.ue.M.;2681250;1166790
462;Bristen;784;m.ue.M.;2696223;1180373
342;St ckalp;1070;m.ue.M.;2664320;1183550
404;Entlebuch;768;m.ue.M.;2647935;1204165
714;Zwillikon;463;m.ue.M.;2675125;1238090
165;Guttannen;1055;m.ue.M.;2665296;1167601
233;Lauterbrunnen;815;m.ue.M.;2635851;1160291
723;Kandersteg;1178;m.ue.M.;2618313;1149198
743;Gsteig Gstaad;1196;m.ue.M.;2587680;1136130
