source,Station_ID,lon,lat,circular_stats_theta_rad,circular_stats_regularity,mean_peak_doy
CAMELS,2304,10.18998,46.65512,2.758865,0.815174,160.370534
CAMELS,2305,9.25712,47.39812,3.319155,0.390079,192.849911
CAMELS,2307,7.17219,47.19678,0.374917,0.52456,21.908335
CAMELS,2308,9.47147,47.48721,3.191348,0.401606,185.389183
CAMELS,2309,9.46764,47.48944,3.41174,0.342627,198.324503
CAMELS,2312,9.35722,47.55043,1.30823,0.050781,75.455762
CAMELS,2319,10.11828,46.69319,3.195338,0.760593,185.765708
CAMELS,2321,8.96245,46.01766,3.886135,0.309598,226.02166
CAMELS,2327,9.87726,46.77546,2.950777,0.884754,171.531398
CAMELS,2342,7.98678,46.31675,3.4115,0.624977,198.304098
CAMELS,2343,7.82818,47.12255,0.519418,0.297993,30.313972
CAMELS,2346,7.97536,46.31743,3.327862,0.836689,193.453102
CAMELS,2347,9.16890,46.20165,4.207251,0.446595,244.62908
CAMELS,2349,9.01308,45.84548,3.423585,0.100284,199.093353
CAMELS,2351,7.88018,46.28366,3.629539,0.881181,210.981781
CAMELS,2352,8.99154,46.91636,3.736675,0.692716,217.234134
CAMELS,2355,9.79030,46.75776,3.018269,0.84602,175.457287
CAMELS,2356,8.54290,46.36964,3.53512,0.479667,205.499585
CAMELS,2364,8.67152,46.51667,3.553944,0.610043,206.583625
CAMELS,2366,10.06719,46.39898,3.14869,0.510523,183.02353
CAMELS,2368,8.77358,46.16832,4.344248,0.465269,252.635954
CAMELS,2369,6.72424,46.77681,0.355403,0.537045,20.788308
CAMELS,2370,6.92932,47.22924,0.40269,0.656297,23.545874
CAMELS,2371,6.15353,46.55075,0.491775,0.629114,28.719663
CAMELS,2372,9.07199,47.10108,3.499803,0.652685,203.463005
CAMELS,2374,9.12143,47.36419,3.271425,0.333185,190.161883
CAMELS,2378,6.52395,46.72756,0.31049,0.579592,18.163649
CAMELS,2386,8.89438,47.56851,1.282784,0.081377,74.358595
CAMELS,2387,9.44734,46.71509,3.452841,0.646434,200.74242
CAMELS,2403,10.02094,46.63549,3.290573,0.743621,191.30115
CAMELS,2409,7.80472,46.87116,3.648709,0.305496,212.108665
CAMELS,2410,9.52244,47.24338,3.67715,0.61621,213.785571
CAMELS,2412,7.07831,46.65852,0.3283,0.379603,19.28284
CAMELS,2414,9.01228,47.37607,0.455412,0.335693,26.483843
CAMELS,2415,8.47582,47.57355,1.385492,0.122366,80.558134
CAMELS,2416,8.24913,47.22006,1.321624,0.281911,76.892321
CAMELS,2417,8.11538,47.15724,2.677553,0.371247,155.629548
CAMELS,2418,9.57601,46.66037,3.299645,0.673382,191.843097
CAMELS,2419,8.24468,46.46949,3.310901,0.765645,192.458747
CAMELS,2420,9.05576,46.22312,3.975893,0.53567,231.168797
CAMELS,2426,9.41816,47.04655,3.417541,0.529137,198.694479
CAMELS,2430,8.99073,46.64988,3.745821,0.702568,217.772195
CAMELS,2432,6.55275,46.53527,0.358521,0.61268,20.923082
CAMELS,2433,6.40637,46.47331,0.181867,0.630492,10.710435
CAMELS,2434,7.89297,47.35028,0.460107,0.408803,26.894936
CAMELS,2436,8.27662,46.94415,3.441697,0.483136,200.022448
CAMELS,2437,6.81293,46.60438,0.252947,0.619629,14.853553
CAMELS,2446,7.03417,47.02107,0.255275,0.468669,15.041275
CAMELS,2447,7.11462,46.96366,0.480315,0.583257,28.012173
CAMELS,2450,7.93536,47.28355,6.022409,0.053032,350.747282
CAMELS,2457,7.87961,46.69396,3.369018,0.855325,195.844398
CAMELS,2458,6.90431,47.01109,0.18506,0.536633,10.896906
CAMELS,2461,8.87899,45.98196,3.990714,0.250299,232.050192
CAMELS,2462,9.99518,46.61573,3.107973,0.851876,180.69562
CAMELS,2463,8.91488,46.01118,3.547938,0.515623,206.25898
CAMELS,2468,9.32753,47.41444,3.487506,0.41332,202.726951
CAMELS,2469,7.67110,46.66659,3.271219,0.742732,190.16137
CAMELS,2471,7.82622,47.25226,0.290314,0.494466,16.986467
CAMELS,2473,9.64091,47.38307,3.280048,0.712707,190.689928
CAMELS,2474,9.11823,46.28357,3.969723,0.609668,230.823833
CAMELS,2475,8.60812,46.33831,3.679175,0.460637,213.932703
CAMELS,2477,8.50198,47.18067,3.19433,0.396896,185.569392
CAMELS,2478,7.39598,47.39245,0.805086,0.198898,46.84537
CAMELS,2480,6.83899,46.94897,0.399306,0.631302,23.302274
CAMELS,2481,8.40528,46.97283,3.304201,0.740049,192.074438
CAMELS,2485,7.01166,47.50076,0.673739,0.339441,39.264722
CAMELS,2486,6.84854,46.46887,0.756882,0.016237,46.123011
CAMELS,2487,8.06845,47.03490,3.706869,0.283749,215.461246
CAMELS,2488,7.57818,46.66171,3.273755,0.18562,190.114849
CAMELS,2490,5.99856,46.21739,0.285801,0.666087,16.795917
CAMELS,2491,8.65170,46.87090,3.158608,0.685162,183.611556
CAMELS,2493,6.26927,46.40603,0.213319,0.626031,12.567923
CAMELS,2494,8.94747,46.35931,4.162387,0.55591,242.002663
CAMELS,2497,7.97382,47.19037,6.099048,0.217166,354.630167
CAMELS,2498,9.21063,46.77359,3.723742,0.588262,216.477045
CAMELS,2500,7.47812,46.97316,2.784542,0.227837,161.942986
CAMELS,2602,9.45611,46.83767,3.486,0.628707,202.664942
CAMELS,2603,7.79742,46.93793,3.205171,0.382693,186.316004
CAMELS,2604,8.72087,47.15334,3.337368,0.356826,194.039747
CAMELS,2605,8.84455,46.24898,4.339145,0.526122,252.313613
CAMELS,2606,6.14156,46.20464,3.578756,0.338708,208.04719
CAMELS,2607,8.35717,46.53298,3.234592,0.69819,188.006601
CAMELS,2608,8.20983,47.11302,3.292319,0.415166,191.353265
CAMELS,2609,8.73927,47.15080,3.685943,0.285481,214.220898
CAMELS,2610,7.43181,47.34820,3.207777,0.306961,186.479608
CAMELS,2612,8.84013,46.25830,4.394669,0.405231,255.549863
CAMELS,2613,7.59473,47.60137,3.017856,0.265571,175.37947
CAMELS,2617,10.45316,46.62964,2.990145,0.815839,173.841561
CAMELS,2620,9.52676,46.33319,3.606757,0.716637,209.686525
CAMELS,2629,8.91169,46.00304,3.494775,0.193206,203.327686
CAMELS,2630,7.36606,46.23052,2.627191,0.362219,152.675857
CAMELS,2631,9.18128,46.52345,4.112307,0.759939,239.063653
CAMELS,2634,8.27728,47.07063,3.304984,0.36957,192.154316
