source,Station_ID,lon,lat,circular_stats_theta_rad,circular_stats_regularity,mean_peak_doy
CAMELS,2304,10.18998,46.65512,2.760538,0.867668,160.473454
CAMELS,2305,9.25712,47.39812,2.60809,0.187067,151.545512
CAMELS,2307,7.17219,47.19678,0.783195,0.442681,45.557437
CAMELS,2308,9.47147,47.48721,2.634387,0.089333,152.856092
CAMELS,2309,9.46764,47.48944,2.861206,0.124999,166.183818
CAMELS,2312,9.35722,47.55043,0.817136,0.131811,47.430666
CAMELS,2319,10.11828,46.69319,2.940492,0.834567,170.886228
CAMELS,2321,8.96245,46.01766,3.260242,0.174652,189.460484
CAMELS,2327,9.87726,46.77546,2.924993,0.925769,170.051484
CAMELS,2342,7.98678,46.31675,3.11583,0.808873,181.10144
CAMELS,2343,7.82818,47.12255,1.057527,0.223767,61.41202
CAMELS,2346,7.97536,46.31743,3.321037,0.922469,193.003344
CAMELS,2347,9.16890,46.20165,3.674843,0.312904,213.640207
CAMELS,2349,9.01308,45.84548,2.483917,0.063094,143.460043
CAMELS,2351,7.88018,46.28366,3.536621,0.929073,205.526784
CAMELS,2352,8.99154,46.91636,3.386037,0.748233,196.879439
CAMELS,2355,9.79030,46.75776,3.003589,0.914397,174.603705
CAMELS,2356,8.54290,46.36964,2.990283,0.624521,173.772951
CAMELS,2364,8.67152,46.51667,3.36147,0.480162,195.334353
CAMELS,2366,10.06719,46.39898,2.758951,0.773942,160.322795
CAMELS,2368,8.77358,46.16832,4.358263,0.389404,253.56216
CAMELS,2369,6.72424,46.77681,0.347912,0.485974,20.314247
CAMELS,2370,6.92932,47.22924,0.570938,0.458225,33.244358
CAMELS,2371,6.15353,46.55075,0.69527,0.451862,40.434194
CAMELS,2372,9.07199,47.10108,3.065896,0.752206,178.221606
CAMELS,2374,9.12143,47.36419,2.671013,0.138824,155.15647
CAMELS,2378,6.52395,46.72756,0.655419,0.39763,38.131185
CAMELS,2386,8.89438,47.56851,0.733236,0.270659,42.645673
CAMELS,2387,9.44734,46.71509,3.060863,0.800631,177.906183
CAMELS,2403,10.02094,46.63549,3.068888,0.87511,178.346614
CAMELS,2409,7.80472,46.87116,3.041465,0.262262,176.832248
CAMELS,2410,9.52244,47.24338,3.287689,0.653016,191.108851
CAMELS,2412,7.07831,46.65852,0.534216,0.286008,31.05021
CAMELS,2414,9.01228,47.37607,0.541291,0.309426,31.492383
CAMELS,2415,8.47582,47.57355,0.990352,0.215936,57.506672
CAMELS,2416,8.24913,47.22006,1.161662,0.206558,67.432437
CAMELS,2417,8.11538,47.15724,1.865316,0.131631,108.183418
CAMELS,2418,9.57601,46.66037,3.122368,0.698929,181.472505
CAMELS,2419,8.24468,46.46949,3.098014,0.901269,180.034705
CAMELS,2420,9.05576,46.22312,3.62763,0.480306,210.863094
CAMELS,2426,9.41816,47.04655,2.704745,0.622627,157.235299
CAMELS,2430,8.99073,46.64988,3.342798,0.79079,194.295117
CAMELS,2432,6.55275,46.53527,0.43076,0.534371,25.130379
CAMELS,2433,6.40637,46.47331,0.759506,0.398586,44.160854
CAMELS,2434,7.89297,47.35028,0.681809,0.423641,39.684709
CAMELS,2436,8.27662,46.94415,2.546949,0.416906,148.032142
CAMELS,2437,6.81293,46.60438,0.197827,0.524536,11.595252
CAMELS,2446,7.03417,47.02107,0.525127,0.359803,30.607631
CAMELS,2447,7.11462,46.96366,0.607804,0.521004,35.3708
CAMELS,2450,7.93536,47.28355,1.069115,0.197732,62.048882
CAMELS,2457,7.87961,46.69396,3.332134,0.874665,193.677323
CAMELS,2458,6.90431,47.01109,0.381522,0.58045,22.260381
CAMELS,2461,8.87899,45.98196,3.761703,0.135048,218.724357
CAMELS,2462,9.99518,46.61573,3.005784,0.890664,174.728361
CAMELS,2463,8.91488,46.01118,3.768764,0.189934,219.120266
CAMELS,2468,9.32753,47.41444,2.9826,0.203241,173.368806
CAMELS,2469,7.67110,46.66659,3.101252,0.797632,180.225185
CAMELS,2471,7.82622,47.25226,0.62784,0.282017,36.508073
CAMELS,2473,9.64091,47.38307,2.984688,0.814997,173.494259
CAMELS,2474,9.11823,46.28357,3.637408,0.577617,211.422462
CAMELS,2475,8.60812,46.33831,3.77353,0.412858,219.389337
CAMELS,2477,8.50198,47.18067,2.881553,0.358428,167.424495
CAMELS,2478,7.39598,47.39245,0.705009,0.339556,41.05273
CAMELS,2480,6.83899,46.94897,0.595588,0.44269,34.669174
CAMELS,2481,8.40528,46.97283,3.152772,0.843615,183.24026
CAMELS,2485,7.01166,47.50076,0.650095,0.427861,37.832524
CAMELS,2486,6.84854,46.46887,1.87482,0.10457,108.344324
CAMELS,2487,8.06845,47.03490,2.64319,0.255628,153.584486
CAMELS,2488,7.57818,46.66171,2.551061,0.5776,148.250393
CAMELS,2490,5.99856,46.21739,0.337772,0.517931,19.712607
CAMELS,2491,8.65170,46.87090,2.947488,0.792952,171.330002
CAMELS,2493,6.26927,46.40603,0.442043,0.515043,25.803425
CAMELS,2494,8.94747,46.35931,4.007825,0.498526,233.03022
CAMELS,2497,7.97382,47.19037,0.962587,0.176832,55.910105
CAMELS,2498,9.21063,46.77359,3.103422,0.65665,180.395691
CAMELS,2500,7.47812,46.97316,2.3155,0.204299,134.377269
CAMELS,2602,9.45611,46.83767,3.09271,0.761503,179.747677
CAMELS,2603,7.79742,46.93793,2.469094,0.245879,143.447701
CAMELS,2604,8.72087,47.15334,2.925959,0.250229,170.081216
CAMELS,2605,8.84455,46.24898,4.06103,0.405973,236.131158
CAMELS,2606,6.14156,46.20464,3.262291,0.546298,189.571448
CAMELS,2607,8.35717,46.53298,3.05925,0.864921,177.774794
CAMELS,2608,8.20983,47.11302,3.470818,0.227253,201.801009
CAMELS,2609,8.73927,47.15080,3.139237,0.261561,182.488801
CAMELS,2610,7.43181,47.34820,1.15432,0.158469,67.019658
CAMELS,2612,8.84013,46.25830,4.023844,0.376573,233.991975
CAMELS,2613,7.59473,47.60137,2.84706,0.428465,165.496868
CAMELS,2617,10.45316,46.62964,3.006937,0.81251,174.796454
CAMELS,2620,9.52676,46.33319,3.557241,0.687946,206.81932
CAMELS,2629,8.91169,46.00304,4.491825,0.197464,261.396107
CAMELS,2630,7.36606,46.23052,2.361008,0.785376,137.295818
CAMELS,2631,9.18128,46.52345,3.526379,0.731846,204.992675
CAMELS,2634,8.27728,47.07063,2.50978,0.264417,145.789611
CAMELS,2635,8.76547,47.10646,2.628038,0.335828,152.75442
CAMELS,2640,7.35099,47.36427,0.645262,0.59592,37.587312
CAMELS,2644,9.86324,46.51371,3.079017,0.852071,178.90168
CAMELS,3001,9.53355,47.27241,2.909789,0.844934,169.188803
CAMELS,3002,9.57927,47.30565,3.713148,0.385305,215.77331
CAMELS,3003,9.57888,47.26036,2.911426,0.830082,169.318341
CAMELS,3004,9.59285,47.28234,3.644437,0.267148,211.796702
CAMELS,3005,9.61444,47.20666,2.735056,0.63216,159.020873
CAMELS,3006,9.66136,47.45029,2.930588,0.808915,170.405245
CAMELS,3007,9.68046,47.46137,3.264109,0.519214,189.72121
CAMELS,3008,9.67776,47.37108,3.164684,0.599283,183.978551
CAMELS,3009,9.67755,47.19897,2.975599,0.771559,173.009149
CAMELS,3010,9.69624,47.43453,3.316767,0.524485,192.82755
CAMELS,3011,9.70033,47.44775,3.281764,0.554691,190.784462
CAMELS,3012,9.73615,47.53710,2.870775,0.148769,166.648684
CAMELS,3013,9.72885,47.25693,2.953471,0.687932,171.68996
CAMELS,3014,9.74412,47.53478,3.255694,0.343751,189.193634
CAMELS,3015,9.75762,47.44612,3.194928,0.486503,185.655633
CAMELS,3016,9.76161,47.39715,3.223703,0.509258,187.38901
CAMELS,3017,9.77511,47.47620,3.253128,0.51084,189.140567
CAMELS,3018,9.80266,47.15078,2.937056,0.772886,170.814843
CAMELS,3019,9.84644,47.13150,3.142029,0.576107,182.699563
CAMELS,3020,9.87443,47.52827,3.156406,0.194924,183.548943
CAMELS,3021,9.88112,47.35466,3.147929,0.632311,183.037526
CAMELS,3022,9.87585,47.22671,2.925902,0.716628,170.144851
CAMELS,3023,9.89445,47.36942,3.216338,0.384311,186.956186
CAMELS,3024,9.91807,47.50217,3.598377,0.233984,209.338672
CAMELS,3025,9.91367,47.08031,2.828884,0.852421,164.501087
CAMELS,3026,9.96383,47.46274,3.072324,0.486314,178.643631
CAMELS,3027,9.97338,47.32764,2.867235,0.637626,166.723338
CAMELS,3028,10.02081,47.47061,3.176083,0.480029,184.678388
CAMELS,3029,10.04083,47.38589,3.187924,0.631522,185.356785
CAMELS,3030,10.04754,47.28543,2.744517,0.722987,159.654876
CAMELS,3031,10.06049,47.12768,2.811889,0.890869,163.513396
CAMELS,3032,10.48839,46.93612,2.813939,0.9294,163.580431
CAMELS,3033,10.51023,46.95069,3.038399,0.89045,176.605943
CAMELS,4001,7.79465,47.71817,0.482825,0.579043,28.143549
CAMELS,4002,7.84542,47.69948,0.427288,0.619101,24.902494
CAMELS,4003,8.19164,47.92520,0.744718,0.606717,43.317719
CAMELS,4004,8.32556,47.62329,0.731664,0.617325,42.561622
CAMELS,4005,8.34376,47.74969,0.576666,0.648971,33.574172
CAMELS,4006,8.45023,47.84833,0.738457,0.612094,42.959097
CAMELS,4007,8.82474,47.78200,1.010651,0.497668,58.741039
CAMELS,4008,8.83895,47.73780,1.026839,0.396928,59.678955
CAMELS,4009,8.96569,47.81555,1.026839,0.396928,59.678955
CAMELS,4010,9.17284,47.66788,3.377076,0.741449,196.317456
CAMELS,4011,9.24346,47.73024,1.147436,0.325251,66.68998
CAMELS,4012,9.30840,47.75406,1.063097,0.349689,61.755002
CAMELS,4013,9.45503,47.75653,0.901981,0.387841,52.453167
CAMELS,4014,9.49632,47.65912,0.88946,0.31387,51.698238
CAMELS,4015,9.53489,47.67256,0.937991,0.215709,54.486113
CAMELS,4016,9.59609,47.62798,0.77831,0.257178,45.210543
CAMELS,4017,9.63856,47.82785,0.995616,0.202416,57.810981
CAMELS,4018,9.67618,47.90307,1.477764,0.280437,85.819699
CAMELS,4019,9.69926,47.55723,3.307451,0.361958,192.143583
CAMELS,4020,9.81864,47.70470,0.70463,0.245503,40.941197
CAMELS,4021,9.86259,47.67702,1.193257,0.147655,69.217146
CAMELS,4022,9.90003,47.68426,0.669267,0.183122,38.838583
