source,Station_ID,lon,lat,circular_stats_theta_rad,circular_stats_regularity,mean_peak_doy
CAMELS,2304,10.18998,46.65512,2.510253,0.937225,145.92791
CAMELS,2305,9.25712,47.39812,1.693201,0.854776,98.43795
CAMELS,2307,7.17219,47.19678,1.150775,0.881576,66.901335
CAMELS,2308,9.47147,47.48721,1.685208,0.780318,97.976235
CAMELS,2309,9.46764,47.48944,2.018589,0.696914,117.335611
CAMELS,2312,9.35722,47.55043,1.192162,0.843638,69.300858
CAMELS,2319,10.11828,46.69319,2.789253,0.948157,162.144312
CAMELS,2321,8.96245,46.01766,1.864082,0.692597,108.376516
CAMELS,2327,9.87726,46.77546,2.884666,0.951355,167.690776
CAMELS,2342,7.98678,46.31675,2.694399,0.929389,156.629294
CAMELS,2343,7.82818,47.12255,1.397721,0.880297,81.25517
CAMELS,2346,7.97536,46.31743,3.209072,0.962033,186.547174
CAMELS,2347,9.16890,46.20165,2.315789,0.877044,134.62835
CAMELS,2349,9.01308,45.84548,1.628619,0.618938,94.697386
CAMELS,2351,7.88018,46.28366,2.872426,0.93924,166.97761
CAMELS,2352,8.99154,46.91636,2.771405,0.92962,161.10795
CAMELS,2355,9.79030,46.75776,2.850882,0.946919,165.726834
CAMELS,2356,8.54290,46.36964,2.652356,0.935276,154.184028
CAMELS,2364,8.67152,46.51667,2.562804,0.796673,148.93995
CAMELS,2366,10.06719,46.39898,2.46657,0.928957,143.38892
CAMELS,2368,8.77358,46.16832,2.168946,0.541873,126.104503
CAMELS,2369,6.72424,46.77681,0.834312,0.890381,48.503421
CAMELS,2370,6.92932,47.22924,0.928966,0.869003,54.007235
CAMELS,2371,6.15353,46.55075,1.011691,0.874069,58.815149
CAMELS,2372,9.07199,47.10108,2.47363,0.927867,143.79967
CAMELS,2374,9.12143,47.36419,1.71676,0.875891,99.80105
CAMELS,2378,6.52395,46.72756,1.080523,0.888691,62.817554
CAMELS,2386,8.89438,47.56851,1.135007,0.862484,65.985733
CAMELS,2387,9.44734,46.71509,2.587043,0.922354,150.390486
CAMELS,2403,10.02094,46.63549,3.01033,0.957344,174.995585
CAMELS,2409,7.80472,46.87116,1.972492,0.892619,114.669874
CAMELS,2410,9.52244,47.24338,2.317062,0.909515,134.701752
CAMELS,2412,7.07831,46.65852,1.070583,0.852775,62.239128
CAMELS,2414,9.01228,47.37607,1.112395,0.859137,64.669677
CAMELS,2415,8.47582,47.57355,1.381102,0.878549,80.291431
CAMELS,2416,8.24913,47.22006,1.377101,0.829825,80.05845
CAMELS,2417,8.11538,47.15724,1.773747,0.827665,103.114433
CAMELS,2418,9.57601,46.66037,2.737376,0.762944,159.127755
CAMELS,2419,8.24468,46.46949,3.006266,0.957389,174.75748
CAMELS,2420,9.05576,46.22312,2.533777,0.892503,147.299107
CAMELS,2426,9.41816,47.04655,2.308925,0.903561,134.228313
CAMELS,2430,8.99073,46.64988,2.959708,0.949755,172.052148
CAMELS,2432,6.55275,46.53527,0.917446,0.862534,53.337335
CAMELS,2433,6.40637,46.47331,1.255335,0.867914,72.979719
CAMELS,2434,7.89297,47.35028,1.074041,0.851663,62.439979
CAMELS,2436,8.27662,46.94415,2.112726,0.872682,122.822778
CAMELS,2437,6.81293,46.60438,0.637525,0.871923,37.057377
CAMELS,2446,7.03417,47.02107,0.869848,0.841791,50.588831
CAMELS,2447,7.11462,46.96366,0.932929,0.84294,54.236149
CAMELS,2450,7.93536,47.28355,1.343234,0.85837,78.088246
CAMELS,2457,7.87961,46.69396,2.891555,0.949912,168.09265
CAMELS,2458,6.90431,47.01109,0.69945,0.871092,40.659882
CAMELS,2461,8.87899,45.98196,1.736795,0.625141,100.983918
CAMELS,2462,9.99518,46.61573,2.943389,0.921565,171.12268
CAMELS,2463,8.91488,46.01118,1.723716,0.718105,100.214071
CAMELS,2468,9.32753,47.41444,1.944707,0.868638,113.052752
CAMELS,2469,7.67110,46.66659,2.724531,0.946898,158.381248
CAMELS,2471,7.82622,47.25226,1.254704,0.902194,72.940238
CAMELS,2473,9.64091,47.38307,2.519733,0.930688,146.478328
CAMELS,2474,9.11823,46.28357,2.592547,0.844871,150.730502
CAMELS,2475,8.60812,46.33831,2.527465,0.564339,146.968047
CAMELS,2477,8.50198,47.18067,1.796344,0.831785,104.435812
CAMELS,2478,7.39598,47.39245,1.173117,0.846599,68.204985
CAMELS,2480,6.83899,46.94897,1.080332,0.877311,62.807894
CAMELS,2481,8.40528,46.97283,2.808426,0.943769,163.258277
CAMELS,2485,7.01166,47.50076,0.897133,0.843465,52.15593
CAMELS,2486,6.84854,46.46887,1.461603,0.850131,84.967988
CAMELS,2487,8.06845,47.03490,1.900372,0.887893,110.474923
CAMELS,2488,7.57818,46.66171,2.174119,0.832689,126.387031
CAMELS,2490,5.99856,46.21739,0.860392,0.875592,50.02131
CAMELS,2491,8.65170,46.87090,2.730353,0.901374,158.715195
CAMELS,2493,6.26927,46.40603,0.971596,0.846988,56.488738
CAMELS,2494,8.94747,46.35931,2.22022,0.857109,129.073812
